model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatboostClassifier,0.9939713639788997,0.998,0.026059389114379883,0.013900995254516602,4.711577653884888,0.026059389114379883,0.013900995254516602,4.711577653884888,0,True,9
ExtraTreesClassifierEntr,0.9909570459683497,0.996,0.18967700004577637,0.17166876792907715,0.9253652095794678,0.18967700004577637,0.17166876792907715,0.9253652095794678,0,True,4
ExtraTreesClassifierGini,0.9894498869630746,0.996,0.21004199981689453,0.17806243896484375,0.9778971672058105,0.21004199981689453,0.17806243896484375,0.9778971672058105,0,True,3
KNeighborsClassifierDist,0.9781461944235117,0.986,0.18862700462341309,0.15857934951782227,0.08414626121520996,0.18862700462341309,0.15857934951782227,0.08414626121520996,0,True,6
KNeighborsClassifierUnif,0.9781461944235117,0.986,0.35011744499206543,0.15712189674377441,0.09260010719299316,0.35011744499206543,0.15712189674377441,0.09260010719299316,0,True,5
LightGBMClassifier,0.9954785229841748,0.998,0.009727716445922852,0.007093667984008789,0.5080680847167969,0.009727716445922852,0.007093667984008789,0.5080680847167969,0,True,7
LightGBMClassifierCustom,0.9894498869630746,0.998,0.011586189270019531,0.006263017654418945,1.3110356330871582,0.011586189270019531,0.006263017654418945,1.3110356330871582,0,True,11
LightGBMClassifierXT,0.9954785229841748,0.998,0.009818077087402344,0.0072329044342041016,0.43593740463256836,0.009818077087402344,0.0072329044342041016,0.43593740463256836,0,True,8
NeuralNetClassifier,0.9909570459683497,0.994,0.7134451866149902,0.2904064655303955,9.591711282730103,0.7134451866149902,0.2904064655303955,9.591711282730103,0,True,10
RandomForestClassifierEntr,0.9917106254709872,0.996,0.1879749298095703,0.18143296241760254,1.357203722000122,0.1879749298095703,0.18143296241760254,1.357203722000122,0,True,2
RandomForestClassifierGini,0.9909570459683497,0.996,0.20009684562683105,0.18526244163513184,1.3086490631103516,0.20009684562683105,0.18526244163513184,1.3086490631103516,0,True,1
weighted_ensemble_k0_l1,0.9954785229841748,0.998,0.015089035034179688,0.008825063705444336,1.217998743057251,0.005361318588256836,0.0017313957214355469,0.7099306583404541,1,True,12
