model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatboostClassifier,0.9977392614920875,0.998,0.023342609405517578,0.010401487350463867,3.898022174835205,0.023342609405517578,0.010401487350463867,3.898022174835205,0,True,9
ExtraTreesClassifierEntr,0.9947249434815373,0.992,0.19930410385131836,0.1730363368988037,0.9733774662017822,0.19930410385131836,0.1730363368988037,0.9733774662017822,0,True,4
ExtraTreesClassifierGini,0.9947249434815373,0.992,0.21294331550598145,0.15637779235839844,1.0279207229614258,0.21294331550598145,0.15637779235839844,1.0279207229614258,0,True,3
KNeighborsClassifierDist,0.9811605124340618,0.976,0.36298656463623047,0.16414380073547363,0.08656740188598633,0.36298656463623047,0.16414380073547363,0.08656740188598633,0,True,6
KNeighborsClassifierUnif,0.9811605124340618,0.976,0.2937734127044678,0.1689748764038086,0.08704686164855957,0.2937734127044678,0.1689748764038086,0.08704686164855957,0,True,5
LightGBMClassifier,0.9947249434815373,0.998,0.009225606918334961,0.0077648162841796875,0.48451876640319824,0.009225606918334961,0.0077648162841796875,0.48451876640319824,0,True,7
LightGBMClassifierCustom,0.9954785229841748,0.998,0.01055288314819336,0.0071811676025390625,1.3713247776031494,0.01055288314819336,0.0071811676025390625,1.3713247776031494,0,True,11
LightGBMClassifierXT,0.9947249434815373,0.998,0.006733417510986328,0.007132053375244141,0.44260644912719727,0.006733417510986328,0.007132053375244141,0.44260644912719727,0,True,8
NeuralNetClassifier,0.9954785229841748,0.996,0.7360539436340332,0.27874326705932617,7.235681772232056,0.7360539436340332,0.27874326705932617,7.235681772232056,0,True,10
RandomForestClassifierEntr,0.9947249434815373,0.992,0.1942274570465088,0.16940975189208984,1.373687744140625,0.1942274570465088,0.16940975189208984,1.373687744140625,0,True,2
RandomForestClassifierGini,0.9947249434815373,0.994,0.20246553421020508,0.18050456047058105,1.2938673496246338,0.20246553421020508,0.18050456047058105,1.2938673496246338,0,True,1
weighted_ensemble_k0_l1,0.9947249434815373,0.998,0.015492439270019531,0.009469270706176758,1.1586976051330566,0.00626683235168457,0.0017044544219970703,0.6741788387298584,1,True,12
